TAXREF17;TAXREF17
CD_REF;NOM LATIN
81260;Alisma gramineum
81260;Alisma plantago-aquatica
81280;Alisma x rhicnocarpum
161879;Alkanna lutea
81287;Alkanna matthioli
81295;Alliaria petiolata
81297;Allium acutiflorum
81313;Allium ampeloprasum
81313;Allium ampeloprasum
81316;Allium angulosum
81339;Allium ascalonicum
81483;Allium atroviolaceum
717723;Allium atroviolaceum x
81336;Allium carinatum
81339;Allium cepa
81341;Allium chamaemoly
81347;Allium coloratum
81350;Allium commutatum
610832;Allium commutatum x
81355;Allium consimile
81463;Allium pallens
81359;Allium corsicum
610829;Allium cyrilli
81369;Allium ericetorum
81373;Allium fistulosum
81347;Allium flavum
81378;Allium flexum
81398;Allium guttatum
81544;Allium guttatum subsp. sardoum
81522;Allium lineare
923594;Allium longispathum
81316;Allium angulosum
81433;Allium moly
81439;Allium moschatum
81440;Allium cyrilli
81443;Allium narcissiflorum
81445;Allium neapolitanum
81440;Allium cyrilli
610831;Allium obtusiflorum
81457;Allium oleraceum
610830;Allium oleraceum x
81459;Allium oporinanthum
81460;Allium oschaninii
81463;Allium pallens
81459;Allium longispathum
161532;Allium paradoxum
81468;Allium parciflorum
81507;Allium scaberrimum
81473;Allium pendulinum
;
81313;Allium ampeloprasum
81479;Allium porrum
81499;Allium roseum
143266;Allium roseum subsp. roseum
81297;Allium rotundum
81505;Allium sativum
81506;Allium savii
81507;Allium scaberrimum
81508;Allium schoenoprasum
718299;Allium schoenoprasum subsp. schoenoprasum
81313;Allium scorodoprasum
81516;Allium siculum
81507;Allium sphaerocephalon
131212;Allium sphaerocephalon subsp. sphaerocephalon
143282;Allium sphaerocephalon var. deseglisei
81522;Allium strictum
81369;Allium suaveolens
81525;Allium subhirsutum
81525;Allium subhirsutum
81530;Allium tenuiflorum
81537;Allium trifoliatum
81473;Allium triquetrum
81539;Allium tuberosum
81541;Allium ursinum
81543;Allium victorialis
81544;Allium vineale
717068;Allium x proliferum
81554;Allocasuarina verticillata
959200;Oeosporangium acrosticum
959208;Oeosporangium guanchicum
959211;Oeosporangium hispanicum
959230;Oeosporangium pteridioides
959234;Oeosporangium tinaei
959212;Oeosporangium x ibericum
959214;Oeosporangium x insulare
959216;Oeosporangium x kochianum
81563;Alnus alnobetula
131226;Alnus alnobetula subsp. alnobetula
131227;Alnus alnobetula subsp. suaveolens
610833;Alnus alnobetula x
81567;Alnus cordata
81569;Alnus glutinosa
81570;Alnus incana
131230;Alnus incana subsp. incana
612587;Alnus incana subsp. rugosa
162506;Alnus japonica
162503;Alnus maritima
610834;Alnus rubra
160288;Alnus subcordata
131226;Alnus alnobetula subsp. alnobetula
81586;Alnus x pubescens
81583;Alnus x elliptica
81587;Alnus x spaethii
81588;Aloe arborescens
81589;Aloe aristata
81591;Aloe brevifolia
81592;Aloe ciliaris
81593;Aloe ferox
81594;Aloe humilis
81595;Aloe maculata
611653;Aloe maculata x
81596;Aloe mitriformis
81588;Aloe mitriformis
81599;Aloe spectabilis
717727;Aloe striatula
81600;Aloe succotrina
161043;Aloe variegata
81600;Aloe succotrina
81605;Aloe x principis
81610;Alopecurus aequalis
81620;Alopecurus arundinaceus
718300;Alopecurus arundinaceus subsp. arundinaceus
81624;Alopecurus bulbosus
718301;Alopecurus bulbosus subsp. bulbosus
81610;Alopecurus geniculatus
81638;Alopecurus gerardi
718302;Alopecurus gerardi subsp. gerardi
81648;Alopecurus myosuroides
718303;Alopecurus myosuroides subsp. myosuroides
81620;Alopecurus pratensis
131242;Alopecurus pratensis subsp. pratensis
81620;Alopecurus arundinaceus
81658;Alopecurus rendlei
610835;Alopecurus setarioides
81658;Alopecurus rendlei
81673;Alopecurus x brachystylus
81674;Alopecurus x haussknechtianus
81677;Alopecurus x marssonii
81680;Alopecurus x plettkei
81682;Alopecurus x turicensis
81683;Alopecurus x wincklerianus
639101;Aloysia citrodora
81824;Alstroemeria aurea
81825;Alstroemeria haemantha
81826;Alstroemeria ligtu
81827;Alternanthera caracasana
81831;Alternanthera philoxeroides
81832;Alternanthera sessilis
81837;Althaea cannabina
107313;Malva setigera
81856;Althaea officinalis
81867;Althaea x taurinensis
131262;Althenia filiformis subsp. filiformis
81869;Althenia filiformis
131262;Althenia filiformis subsp. filiformis
131263;Althenia filiformis subsp. orientalis
131263;Althenia filiformis subsp. orientalis
81875;Alyssoides utriculata
81876;Alyssum alpestre
81878;Alyssum alyssoides
81915;Alyssum loiseleurii
160975;Alyssum argenteum
810907;Alyssum cacuminum
81896;Alyssum corsicum
81897;Alyssum cacuminum
161703;Alyssum flexicaule
;
81914;Alyssum linifolium
81915;Alyssum loiseleurii
81897;Alyssum montanum
81923;Alyssum montanum
81923;Alyssum montanum
81923;Alyssum montanum
81923;Alyssum montanum
610845;Alyssum murale
81926;Alyssum orophilum
81943;Alyssum serpyllifolium
81943;Alyssum serpyllifolium
81935;Alyssum rhodanense
81936;Alyssum robertianum
81942;Alyssum scutigerum
81943;Alyssum serpyllifolium
81944;Alyssum simplex
160382;Alyssum wierzbickii
81954;Amaranthus acutilobus
81955;Amaranthus albus
81963;Amaranthus blitoides
81966;Amaranthus blitum
131285;Amaranthus blitum subsp. blitum
131286;Amaranthus blitum subsp. emarginatus
143439;Amaranthus blitum var. blitum
154276;Amaranthus blitum var. emarginatus
143440;Amaranthus blitum var. oleraceus
154277;Amaranthus blitum var. pseudogracilis
81992;Amaranthus powellii subsp. bouchonii
